index,file_name,extension,file_type,full_path,relative_path,vite_public_path,parent_folder,size_bytes,width,height,aspect_ratio,orientation,mode,has_alpha_channel,has_transparent_pixels,alpha_status,animated,frame_count,suggested_page,suggested_role,notes
1,Holy_Flock_Background.webp,.webp,WEBP,C:\Users\Black Lab Films\webgl-site\public\images\background\Holy_Flock_Background.webp,background/Holy_Flock_Background.webp,/images/background/Holy_Flock_Background.webp,background,38680,4239,2826,1.5,landscape,RGB,False,False,no_alpha,False,1,shared_or_background,background,
2,DNFTA-poster-large.webp,.webp,WEBP,C:\Users\Black Lab Films\webgl-site\public\images\films\donotfeedtheanimals\DNFTA-poster-large.webp,films/donotfeedtheanimals/DNFTA-poster-large.webp,/images/films/donotfeedtheanimals/DNFTA-poster-large.webp,donotfeedtheanimals,116322,1555,2200,0.70682,portrait,RGB,False,False,no_alpha,False,1,shared_or_background,background,
3,DNFTA-poster-thumb.webp,.webp,WEBP,C:\Users\Black Lab Films\webgl-site\public\images\films\donotfeedtheanimals\DNFTA-poster-thumb.webp,films/donotfeedtheanimals/DNFTA-poster-thumb.webp,/images/films/donotfeedtheanimals/DNFTA-poster-thumb.webp,donotfeedtheanimals,39180,848,1200,0.70667,portrait,RGB,False,False,no_alpha,False,1,shared_or_background,background,
4,DNFTA-still-01-large.webp,.webp,WEBP,C:\Users\Black Lab Films\webgl-site\public\images\films\donotfeedtheanimals\DNFTA-still-01-large.webp,films/donotfeedtheanimals/DNFTA-still-01-large.webp,/images/films/donotfeedtheanimals/DNFTA-still-01-large.webp,donotfeedtheanimals,15762,2400,1005,2.38806,wide_landscape,RGB,False,False,no_alpha,False,1,shared_or_background,background,
5,DNFTA-still-01-thumb.webp,.webp,WEBP,C:\Users\Black Lab Films\webgl-site\public\images\films\donotfeedtheanimals\DNFTA-still-01-thumb.webp,films/donotfeedtheanimals/DNFTA-still-01-thumb.webp,/images/films/donotfeedtheanimals/DNFTA-still-01-thumb.webp,donotfeedtheanimals,4652,1300,545,2.38532,wide_landscape,RGB,False,False,no_alpha,False,1,shared_or_background,background,
6,DNFTA-still-02-large.webp,.webp,WEBP,C:\Users\Black Lab Films\webgl-site\public\images\films\donotfeedtheanimals\DNFTA-still-02-large.webp,films/donotfeedtheanimals/DNFTA-still-02-large.webp,/images/films/donotfeedtheanimals/DNFTA-still-02-large.webp,donotfeedtheanimals,58438,2400,1005,2.38806,wide_landscape,RGB,False,False,no_alpha,False,1,shared_or_background,background,
7,DNFTA-still-02-thumb.webp,.webp,WEBP,C:\Users\Black Lab Films\webgl-site\public\images\films\donotfeedtheanimals\DNFTA-still-02-thumb.webp,films/donotfeedtheanimals/DNFTA-still-02-thumb.webp,/images/films/donotfeedtheanimals/DNFTA-still-02-thumb.webp,donotfeedtheanimals,17058,1300,545,2.38532,wide_landscape,RGB,False,False,no_alpha,False,1,shared_or_background,background,
8,DNFTA-still-03-large.webp,.webp,WEBP,C:\Users\Black Lab Films\webgl-site\public\images\films\donotfeedtheanimals\DNFTA-still-03-large.webp,films/donotfeedtheanimals/DNFTA-still-03-large.webp,/images/films/donotfeedtheanimals/DNFTA-still-03-large.webp,donotfeedtheanimals,138276,2400,1005,2.38806,wide_landscape,RGB,False,False,no_alpha,False,1,shared_or_background,background,
9,DNFTA-still-03-thumb.webp,.webp,WEBP,C:\Users\Black Lab Films\webgl-site\public\images\films\donotfeedtheanimals\DNFTA-still-03-thumb.webp,films/donotfeedtheanimals/DNFTA-still-03-thumb.webp,/images/films/donotfeedtheanimals/DNFTA-still-03-thumb.webp,donotfeedtheanimals,38586,1300,545,2.38532,wide_landscape,RGB,False,False,no_alpha,False,1,shared_or_background,background,
10,DNFTA-still-04-large.webp,.webp,WEBP,C:\Users\Black Lab Films\webgl-site\public\images\films\donotfeedtheanimals\DNFTA-still-04-large.webp,films/donotfeedtheanimals/DNFTA-still-04-large.webp,/images/films/donotfeedtheanimals/DNFTA-still-04-large.webp,donotfeedtheanimals,121600,2400,1005,2.38806,wide_landscape,RGB,False,False,no_alpha,False,1,shared_or_background,background,
