film_title,film_slug,film_prefix,label,role,type,source,original_width,original_height,aspect,thumb_path,thumb_width,thumb_height,large_path,large_width,large_height
Invitation To An Execution,invitationtoanexecution,ITAE,POSTER,poster,poster,D:\Holy Flock\InvitationToAnExecution\Invitation to an Execution Poster V6D.jpg,3508,4961,0.7071,/images/films/invitationtoanexecution/ITAE-poster-thumb.webp,849,1200,/images/films/invitationtoanexecution/ITAE-poster-large.webp,1556,2200
Invitation To An Execution,invitationtoanexecution,ITAE,STILL 01,still,wide,D:\Holy Flock\InvitationToAnExecution\Fos 001 - Lenny Leaning Against Tree.jpg,3840,2160,1.7778,/images/films/invitationtoanexecution/ITAE-still-01-thumb.webp,1100,619,/images/films/invitationtoanexecution/ITAE-still-01-large.webp,1920,1080
Invitation To An Execution,invitationtoanexecution,ITAE,STILL 02,still,wide,D:\Holy Flock\InvitationToAnExecution\Fos 002 - Nina with Bag on her Head.jpg,3840,2160,1.7778,/images/films/invitationtoanexecution/ITAE-still-02-thumb.webp,1100,619,/images/films/invitationtoanexecution/ITAE-still-02-large.webp,1920,1080
Invitation To An Execution,invitationtoanexecution,ITAE,STILL 03,still,wide,D:\Holy Flock\InvitationToAnExecution\Fos 003 - Vincent in Bunker.jpg,3840,2160,1.7778,/images/films/invitationtoanexecution/ITAE-still-03-thumb.webp,1100,619,/images/films/invitationtoanexecution/ITAE-still-03-large.webp,1920,1080
Invitation To An Execution,invitationtoanexecution,ITAE,STILL 04,still,wide,D:\Holy Flock\InvitationToAnExecution\FoS 005 - Lenny Counts to Three.jpg,3840,2160,1.7778,/images/films/invitationtoanexecution/ITAE-still-04-thumb.webp,1100,619,/images/films/invitationtoanexecution/ITAE-still-04-large.webp,1920,1080
Invitation To An Execution,invitationtoanexecution,ITAE,STILL 05,still,wide,D:\Holy Flock\InvitationToAnExecution\FoS 006 - Vincent with Gun.jpg,3840,2160,1.7778,/images/films/invitationtoanexecution/ITAE-still-05-thumb.webp,1100,619,/images/films/invitationtoanexecution/ITAE-still-05-large.webp,1920,1080
Invitation To An Execution,invitationtoanexecution,ITAE,STILL 06,still,wide,D:\Holy Flock\InvitationToAnExecution\FoS 007 - Lenny Carrying Nina.jpg,3840,2160,1.7778,/images/films/invitationtoanexecution/ITAE-still-06-thumb.webp,1100,619,/images/films/invitationtoanexecution/ITAE-still-06-large.webp,1920,1080
Invitation To An Execution,invitationtoanexecution,ITAE,STILL 07,still,wide,D:\Holy Flock\InvitationToAnExecution\FoS 008 - Lenny with Gun.jpg,3840,2160,1.7778,/images/films/invitationtoanexecution/ITAE-still-07-thumb.webp,1100,619,/images/films/invitationtoanexecution/ITAE-still-07-large.webp,1920,1080
Invitation To An Execution,invitationtoanexecution,ITAE,STILL 08,still,wide,D:\Holy Flock\InvitationToAnExecution\IMG20230418182753.jpg,4096,3072,1.3333,/images/films/invitationtoanexecution/ITAE-still-08-thumb.webp,960,720,/images/films/invitationtoanexecution/ITAE-still-08-large.webp,1707,1280
Invitation To An Execution,invitationtoanexecution,ITAE,STILL 09,still,portrait,D:\Holy Flock\InvitationToAnExecution\IMG20230419130700.jpg,3072,4096,0.75,/images/films/invitationtoanexecution/ITAE-still-09-thumb.webp,825,1100,/images/films/invitationtoanexecution/ITAE-still-09-large.webp,1500,2000
Invitation To An Execution,invitationtoanexecution,ITAE,STILL 10,still,wide,D:\Holy Flock\InvitationToAnExecution\IMG20230419152059.jpg,4096,3072,1.3333,/images/films/invitationtoanexecution/ITAE-still-10-thumb.webp,960,720,/images/films/invitationtoanexecution/ITAE-still-10-large.webp,1707,1280
Invitation To An Execution,invitationtoanexecution,ITAE,STILL 11,still,wide,D:\Holy Flock\InvitationToAnExecution\IMG20230419154714.jpg,4000,3000,1.3333,/images/films/invitationtoanexecution/ITAE-still-11-thumb.webp,960,720,/images/films/invitationtoanexecution/ITAE-still-11-large.webp,1707,1280
Invitation To An Execution,invitationtoanexecution,ITAE,STILL 12,still,wide,D:\Holy Flock\InvitationToAnExecution\IMG20230420140327.jpg,4096,3072,1.3333,/images/films/invitationtoanexecution/ITAE-still-12-thumb.webp,960,720,/images/films/invitationtoanexecution/ITAE-still-12-large.webp,1707,1280
Invitation To An Execution,invitationtoanexecution,ITAE,STILL 13,still,wide,D:\Holy Flock\InvitationToAnExecution\IMG20230420211012.jpg,4096,3072,1.3333,/images/films/invitationtoanexecution/ITAE-still-13-thumb.webp,960,720,/images/films/invitationtoanexecution/ITAE-still-13-large.webp,1707,1280
