film_title,film_slug,film_prefix,label,role,type,source,original_width,original_height,aspect,thumb_path,thumb_width,thumb_height,large_path,large_width,large_height
Love Me Hold Me Always,lovemeholdmealways,LMHMA,POSTER,poster,poster,D:\Holy Flock\LoveMeHoldMeAlways\LMHMA _GRASS POSTER_ CREDITS 001 [3000x4000].jpg,3000,4000,0.75,/images/films/lovemeholdmealways/LMHMA-poster-thumb.webp,900,1200,/images/films/lovemeholdmealways/LMHMA-poster-large.webp,1600,2133
Love Me Hold Me Always,lovemeholdmealways,LMHMA,STILL 01,still,wide,D:\Holy Flock\LoveMeHoldMeAlways\IMG20240416151130.jpg,4096,3072,1.3333,/images/films/lovemeholdmealways/LMHMA-still-01-thumb.webp,960,720,/images/films/lovemeholdmealways/LMHMA-still-01-large.webp,1707,1280
Love Me Hold Me Always,lovemeholdmealways,LMHMA,STILL 02,still,wide,D:\Holy Flock\LoveMeHoldMeAlways\IMG20240417140254.jpg,4000,3000,1.3333,/images/films/lovemeholdmealways/LMHMA-still-02-thumb.webp,960,720,/images/films/lovemeholdmealways/LMHMA-still-02-large.webp,1707,1280
Love Me Hold Me Always,lovemeholdmealways,LMHMA,STILL 03,still,wide,D:\Holy Flock\LoveMeHoldMeAlways\IMG20240417194816.jpg,4096,3072,1.3333,/images/films/lovemeholdmealways/LMHMA-still-03-thumb.webp,960,720,/images/films/lovemeholdmealways/LMHMA-still-03-large.webp,1707,1280
Love Me Hold Me Always,lovemeholdmealways,LMHMA,STILL 04,still,portrait,D:\Holy Flock\LoveMeHoldMeAlways\IMG_1169.jpeg,4284,5712,0.75,/images/films/lovemeholdmealways/LMHMA-still-04-thumb.webp,825,1100,/images/films/lovemeholdmealways/LMHMA-still-04-large.webp,1500,2000
Love Me Hold Me Always,lovemeholdmealways,LMHMA,STILL 05,still,wide,D:\Holy Flock\LoveMeHoldMeAlways\IMG_1353.jpeg,5712,4284,1.3333,/images/films/lovemeholdmealways/LMHMA-still-05-thumb.webp,960,720,/images/films/lovemeholdmealways/LMHMA-still-05-large.webp,1707,1280
Love Me Hold Me Always,lovemeholdmealways,LMHMA,STILL 06,still,wide,D:\Holy Flock\LoveMeHoldMeAlways\LMHMA Still 01 - Building.jpg,4096,3024,1.3545,/images/films/lovemeholdmealways/LMHMA-still-06-thumb.webp,975,720,/images/films/lovemeholdmealways/LMHMA-still-06-large.webp,1734,1280
Love Me Hold Me Always,lovemeholdmealways,LMHMA,STILL 07,still,wide,D:\Holy Flock\LoveMeHoldMeAlways\LMHMA Still 02 - Chrissie Bokeh Lights.jpg,4096,3024,1.3545,/images/films/lovemeholdmealways/LMHMA-still-07-thumb.webp,975,720,/images/films/lovemeholdmealways/LMHMA-still-07-large.webp,1734,1280
Love Me Hold Me Always,lovemeholdmealways,LMHMA,STILL 08,still,wide,D:\Holy Flock\LoveMeHoldMeAlways\LMHMA Still 03 - Bars.jpg,4096,3024,1.3545,/images/films/lovemeholdmealways/LMHMA-still-08-thumb.webp,975,720,/images/films/lovemeholdmealways/LMHMA-still-08-large.webp,1734,1280
Love Me Hold Me Always,lovemeholdmealways,LMHMA,STILL 09,still,wide,D:\Holy Flock\LoveMeHoldMeAlways\LMHMA Still 04 - Chrissie Untrusting.jpg,4096,3024,1.3545,/images/films/lovemeholdmealways/LMHMA-still-09-thumb.webp,975,720,/images/films/lovemeholdmealways/LMHMA-still-09-large.webp,1734,1280
Love Me Hold Me Always,lovemeholdmealways,LMHMA,STILL 10,still,wide,D:\Holy Flock\LoveMeHoldMeAlways\Love Me Hold Me Always Still 05 - Chrissie & Prison Guard.jpg,4096,3024,1.3545,/images/films/lovemeholdmealways/LMHMA-still-10-thumb.webp,975,720,/images/films/lovemeholdmealways/LMHMA-still-10-large.webp,1734,1280
Love Me Hold Me Always,lovemeholdmealways,LMHMA,STILL 11,still,wide,D:\Holy Flock\LoveMeHoldMeAlways\Love Me Hold Me Always Still 06.jpg,1464,1080,1.3556,/images/films/lovemeholdmealways/LMHMA-still-11-thumb.webp,976,720,/images/films/lovemeholdmealways/LMHMA-still-11-large.webp,1464,1080
